mastery,rank,result
-82184,-16.599999999999998,0
321447,-4.800000000000001,0
-94638,-0.1999999999999984,0
639839,0.6000000000000005,1
-69592,8.400000000000002,1
-1512746,-0.6000000000000023,1
-1057147,-0.20000000000000373,0
187396,4.400000000000002,0
89225,-7.4,0
-70095,1.2000000000000046,0
164089,-7.0,1
743841,-9.599999999999998,1
115126,-0.19999999999999574,0
-29511,7.8,1
-321767,-3.200000000000001,1
475665,0.8000000000000034,1
948174,0.7999999999999998,1
-258865,0.8000000000000034,1
-79710,-0.8000000000000007,0
-76471,3.8000000000000003,1
2362083,-0.1999999999999975,1
-61024,-0.40000000000000124,0
-539760,-7.3999999999999995,0
-15243,3.6000000000000014,0
-31873,-6.1999999999999975,1
38092,15.599999999999996,0
14472,4.400000000000005,1
-698735,0.20000000000000462,1
112183,-1.1999999999999984,1
-1125454,-5.000000000000002,0
-464535,-0.7999999999999989,0
-2611057,-0.20000000000000018,0
2940155,1.9999999999999956,1
167073,11.2,0
1807,3.199999999999999,0
-30290,-14.600000000000001,1
810585,-5.329070518200751e-15,1
-338699,-3.552713678800501e-15,1
-133424,-0.5999999999999979,1
-503541,-0.7999999999999989,0
178025,7.399999999999999,1
-314272,-7.200000000000003,0
1095290,1.2000000000000046,1
969032,-0.3999999999999977,0
-137943,11.799999999999997,1
-69625,1.200000000000002,1
769373,5.199999999999999,1
304121,4.600000000000003,1
125708,0.20000000000000018,0
621887,0.19999999999999618,1
294893,-0.5999999999999979,1
-154388,-11.600000000000001,1
881128,1.400000000000004,1
474156,0.5999999999999988,1
-131581,-0.6000000000000032,0
-778802,2.8,1
89063,-3.3999999999999986,1
34186,4.6000000000000005,1
741869,-0.1999999999999984,1
-250028,-1.2000000000000028,0
-923812,0.5999999999999979,1
-17598,-1.800000000000002,1
-48406,-12.2,0
384401,-1.2000000000000002,0
-94442,-5.4,0
-1402394,0.5999999999999996,1
-745591,-0.1999999999999975,1
1936,-6.199999999999999,0
-252831,0.7999999999999998,0
1002476,1.4000000000000048,1
-257052,-10.399999999999999,1
147138,-10.600000000000001,1
-752782,-1.0000000000000044,0
-1321349,-0.6000000000000005,0
-327644,-2.400000000000002,0
80351,10.199999999999996,0
43891,-1.0,0
-1434241,-1.599999999999996,1
43255,-6.800000000000001,1
-1470312,2.3999999999999986,0
163549,3.0000000000000018,0
228795,1.5999999999999979,1
-957057,-0.9999999999999964,0
982267,-0.40000000000000213,0
524414,-0.1999999999999993,1
-206404,3.9999999999999982,0
142467,0.9999999999999991,0
-1132070,-0.1999999999999984,0
-452926,8.4,1
3255943,0.6000000000000041,1
117055,-0.400000000000003,0
-72155,5.8,0
-236360,-0.9999999999999978,0
37101,4.599999999999996,0
38106,-2.000000000000002,0
-528294,0.9999999999999973,1
353183,-1.4000000000000021,0
-470612,1.9999999999999973,1
82305,-2.6645352591003757e-15,0
